,Fare_Amt,tripDurationHours,tipPC,depart_income,arriv_income,Trip_Distance,Payment_Type
3433,6.9,0.15,0.0,94.386319293,147.284296274,1.42,CASH
3434,6.9,0.15,0.0,94.386319293,147.284296274,1.42,CASH
3435,6.9,0.15,0.0,94.386319293,,1.42,CASH
3436,6.9,0.15,0.0,94.386319293,,1.42,CASH
3437,9.7,0.283333333333,0.20618556701,121.765217175,21.3128239511,1.65,Credit
3438,11.8,0.286388888889,0.0,205.936708269,94.386319293,3.1,Cash
3439,27.8,0.333888888889,0.0,,205.936708269,9.3,Cash
3440,12.3,0.311388888889,0.0,147.284296274,111.452010793,2.5,Cash
3441,6.5,0.123888888889,0.149230769231,205.936708269,252.197724718,1.2,Credit
3442,10.3,0.188333333333,0.0,170.550403502,138.760957512,2.8,Credit
3443,14.5,0.313888888889,0.0,208.774085523,21.3128239511,5.0,Cash
3444,6.1,0.106666666667,0.0,64.1674781822,178.157744482,1.4,Cash
3445,11.0,0.171666666667,0.0,252.197724718,27.4665365713,3.6,Cash
3446,3.7,0.0533333333333,0.0,120.643519106,147.284296274,0.3,Cash
3447,4.9,0.0797222222222,0.0,170.550403502,170.550403502,0.7,Cash
3448,5.0,0.0661111111111,0.0,138.760957512,138.760957512,0.7,Cash
3449,4.5,0.0638888888889,0.0,252.197724718,302.957837437,1.0,Cash
3450,8.1,0.194722222222,0.0,136.763860839,111.452010793,2.0,Cash
3451,8.5,0.229444444444,0.0,252.197724718,115.621026064,1.0,Cash
3452,15.4,0.3175,0.194805194805,147.284296274,53.4850998464,5.4,Credit
3453,8.5,0.206666666667,0.0,121.765217175,115.621026064,1.6,Cash
3454,22.1,0.309444444444,0.0,,119.356719782,9.2,Cash
3455,3.7,0.0527777777778,0.0,170.550403502,170.550403502,0.4,Cash
3456,7.3,0.1575,0.0,238.665860215,205.936708269,1.6,Cash
3457,24.2,0.407777777778,0.0,21.3128239511,64.1674781822,9.2,Cash
3458,6.1,0.144444444444,0.0,136.763860839,119.356719782,1.4,CASH
3459,4.1,0.0533333333333,0.0,205.936708269,158.973138597,0.8,CASH
3460,4.1,0.0533333333333,0.0,205.936708269,158.973138597,0.8,CASH
3461,4.1,0.0533333333333,0.0,205.936708269,,0.8,CASH
3462,4.1,0.0533333333333,0.0,205.936708269,,0.8,CASH
3463,10.5,0.2625,0.0,158.973138597,170.550403502,2.8,CASH
3464,5.3,0.107222222222,0.0,121.765217175,121.765217175,1.0,CASH
3465,6.1,0.116666666667,0.0,302.957837437,252.197724718,1.32,CASH
3466,8.1,0.15,0.0,205.936708269,115.621026064,2.25,CASH
3467,6.1,0.1,0.0,158.973138597,170.259992779,1.81,CASH
3468,4.9,0.0833333333333,0.0,115.621026064,120.643519106,1.06,CASH
3469,27.3,0.533333333333,0.0,,252.197724718,10.95,CASH
3470,12.5,0.216666666667,0.0,158.973138597,150.291550604,4.58,CASH
3471,5.7,0.1,0.0,94.386319293,139.074511059,1.55,CASH
3472,7.7,0.15,0.0,147.284296274,121.765217175,2.27,CASH
3473,18.1,0.25,0.0,45.8744721551,158.973138597,7.59,CASH
3474,4.1,0.0833333333333,0.219512195122,170.550403502,170.550403502,0.42,Credit
3475,5.7,0.116666666667,0.0,121.765217175,120.643519106,1.06,CASH
3476,8.1,0.2,0.0,157.477740509,205.936708269,1.24,CASH
